Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
247472,Lightning Charging Cable,1,14.95,09/28/19 08:31,"838 Washington St, New York City, NY 10001"
247473,27in 4K Gaming Monitor,1,389.99,09/09/19 22:20,"372 Cherry St, Atlanta, GA 30301"
247474,Lightning Charging Cable,1,14.95,09/25/19 19:23,"580 12th St, Portland, OR 97035"
247475,27in 4K Gaming Monitor,1,389.99,09/03/19 22:43,"235 9th St, Los Angeles, CA 90001"
247476,27in 4K Gaming Monitor,1,389.99,09/09/19 09:27,"336 Lake St, Los Angeles, CA 90001"
247477,AA Batteries (4-pack),1,3.84,09/18/19 14:31,"351 Pine St, San Francisco, CA 94016"
247478,27in FHD Monitor,1,149.99,09/07/19 22:34,"625 1st St, Boston, MA 02215"
247479,Lightning Charging Cable,1,14.95,09/29/19 09:24,"646 1st St, San Francisco, CA 94016"
247480,27in FHD Monitor,1,149.99,09/15/19 17:33,"94 4th St, Dallas, TX 75001"
247481,Bose SoundSport Headphones,1,99.99,09/19/19 17:41,"596 South St, Portland, OR 97035"
247482,AA Batteries (4-pack),1,3.84,09/06/19 23:25,"179 Highland St, Portland, ME 04101"
247482,Wired Headphones,1,11.99,09/06/19 23:25,"179 Highland St, Portland, ME 04101"
247483,27in FHD Monitor,1,149.99,09/27/19 19:13,"664 Washington St, San Francisco, CA 94016"
247484,Wired Headphones,1,11.99,09/22/19 17:36,"899 8th St, Los Angeles, CA 90001"
247485,ThinkPad Laptop,1,999.99,09/15/19 15:23,"702 Maple St, Boston, MA 02215"
247486,Vareebadd Phone,1,400.0,09/03/19 22:02,"732 Center St, Seattle, WA 98101"
247487,AA Batteries (4-pack),2,3.84,09/29/19 14:15,"982 Highland St, New York City, NY 10001"
247488,AA Batteries (4-pack),1,3.84,09/11/19 17:28,"83 Willow St, Austin, TX 73301"
247489,27in FHD Monitor,1,149.99,09/14/19 16:37,"152 Wilson St, Los Angeles, CA 90001"
247490,AAA Batteries (4-pack),2,2.99,09/08/19 19:00,"597 Johnson St, San Francisco, CA 94016"
247491,Google Phone,1,600.0,09/27/19 14:51,"486 Lakeview St, Los Angeles, CA 90001"
247491,Lightning Charging Cable,1,14.95,09/27/19 14:51,"486 Lakeview St, Los Angeles, CA 90001"
247492,Google Phone,1,600.0,09/12/19 16:30,"149 Jefferson St, Boston, MA 02215"
